Code Domaine,Domaine,Code zone,Zone,Code Élément,Élément,Code Produit,Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole,Note
"RL","Utilisation des terres","53","Bénin","5110","Superficie","6670","Autres terres","2015","2015","1000 ha","3940.85","I","Valeur imputée",""
"RL","Utilisation des terres","53","Bénin","5110","Superficie","6610","Terres agricoles","2016","2016","1000 ha","3950","I","Valeur imputée",""
"RL","Utilisation des terres","53","Bénin","5110","Superficie","6670","Autres terres","2016","2016","1000 ha","3990.85","I","Valeur imputée",""
"RL","Utilisation des terres","53","Bénin","5110","Superficie","6610","Terres agricoles","2017","2017","1000 ha","3950","I","Valeur imputée",""
"RL","Utilisation des terres","53","Bénin","5110","Superficie","6670","Autres terres","2017","2017","1000 ha","4040.85","I","Valeur imputée",""
"RL","Utilisation des terres","53","Bénin","5110","Superficie","6610","Terres agricoles","2018","2018","1000 ha","3950","I","Valeur imputée",""
"RL","Utilisation des terres","53","Bénin","5110","Superficie","6670","Autres terres","2018","2018","1000 ha","4090.85","I","Valeur imputée",""
"RL","Utilisation des terres","53","Bénin","5110","Superficie","6610","Terres agricoles","2019","2019","1000 ha","3950","I","Valeur imputée",""
"RL","Utilisation des terres","53","Bénin","5110","Superficie","6670","Autres terres","2019","2019","1000 ha","4140.85","I","Valeur imputée",""
"RL","Utilisation des terres","53","Bénin","5110","Superficie","6610","Terres agricoles","2020","2020","1000 ha","3950","I","Valeur imputée",""
"RL","Utilisation des terres","53","Bénin","5110","Superficie","6670","Autres terres","2020","2020","1000 ha","4190.85","I","Valeur imputée",""
"RL","Utilisation des terres","53","Bénin","5110","Superficie","6610","Terres agricoles","2021","2021","1000 ha","3950","I","Valeur imputée",""
"RL","Utilisation des terres","53","Bénin","5110","Superficie","6670","Autres terres","2021","2021","1000 ha","4240.85","I","Valeur imputée",""
