Code Domaine,Domaine,Code zone,Zone,Code Élément,Élément,Code Produit,Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole,Note
"RFN","Engrais par Élément Nutritif","53","Bénin","5157","Utilisation à des fins agricoles","3104","Élément nutritif potasse K2O (total)","1990","1990","tonnes","2466","A","Chiffre officiel","Official data from questionnaire"
"RFN","Engrais par Élément Nutritif","53","Bénin","5157","Utilisation à des fins agricoles","3102","Élément nutritif azote N (total)","1991","1991","tonnes","5010","A","Chiffre officiel","Official data from questionnaire"
"RFN","Engrais par Élément Nutritif","53","Bénin","5157","Utilisation à des fins agricoles","3103","Engrais phosphatés (total d'élément fertilisant P205)","1991","1991","tonnes","4294","A","Chiffre officiel","Official data from questionnaire"
"RFN","Engrais par Élément Nutritif","53","Bénin","5157","Utilisation à des fins agricoles","3104","Élément nutritif potasse K2O (total)","1991","1991","tonnes","2513","A","Chiffre officiel","Official data from questionnaire"
"RFN","Engrais par Élément Nutritif","53","Bénin","5157","Utilisation à des fins agricoles","3102","Élément nutritif azote N (total)","1992","1992","tonnes","6197","A","Chiffre officiel","Official data from questionnaire"
"RFN","Engrais par Élément Nutritif","53","Bénin","5157","Utilisation à des fins agricoles","3103","Engrais phosphatés (total d'élément fertilisant P205)","1992","1992","tonnes","5837","A","Chiffre officiel","Official data from questionnaire"
"RFN","Engrais par Élément Nutritif","53","Bénin","5157","Utilisation à des fins agricoles","3104","Élément nutritif potasse K2O (total)","1992","1992","tonnes","3291","A","Chiffre officiel","Official data from questionnaire"
"RFN","Engrais par Élément Nutritif","53","Bénin","5157","Utilisation à des fins agricoles","3102","Élément nutritif azote N (total)","1993","1993","tonnes","7867","A","Chiffre officiel","Official data from questionnaire"
"RFN","Engrais par Élément Nutritif","53","Bénin","5157","Utilisation à des fins agricoles","3103","Engrais phosphatés (total d'élément fertilisant P205)","1993","1993","tonnes","6031","A","Chiffre officiel","Official data from questionnaire"
"RFN","Engrais par Élément Nutritif","53","Bénin","5157","Utilisation à des fins agricoles","3104","Élément nutritif potasse K2O (total)","1993","1993","tonnes","3340","A","Chiffre officiel","Official data from questionnaire"
"RFN","Engrais par Élément Nutritif","53","Bénin","5157","Utilisation à des fins agricoles","3102","Élément nutritif azote N (total)","1994","1994","tonnes","7741","A","Chiffre officiel","Official data from questionnaire"
"RFN","Engrais par Élément Nutritif","53","Bénin","5157","Utilisation à des fins agricoles","3103","Engrais phosphatés (total d'élément fertilisant P205)","1994","1994","tonnes","5974","A","Chiffre officiel","Official data from questionnaire"
"RFN","Engrais par Élément Nutritif","53","Bénin","5157","Utilisation à des fins agricoles","3104","Élément nutritif potasse K2O (total)","1994","1994","tonnes","3340","A","Chiffre officiel","Official data from questionnaire"
"RFN","Engrais par Élément Nutritif","53","Bénin","5157","Utilisation à des fins agricoles","3102","Élément nutritif azote N (total)","1995","1995","tonnes","14000","X","Ciffre de sources internationales",""
"RFN","Engrais par Élément Nutritif","53","Bénin","5157","Utilisation à des fins agricoles","3103","Engrais phosphatés (total d'élément fertilisant P205)","1995","1995","tonnes","15000","X","Ciffre de sources internationales",""
"RFN","Engrais par Élément Nutritif","53","Bénin","5157","Utilisation à des fins agricoles","3104","Élément nutritif potasse K2O (total)","1995","1995","tonnes","7000","X","Ciffre de sources internationales",""
"RFN","Engrais par Élément Nutritif","53","Bénin","5157","Utilisation à des fins agricoles","3102","Élément nutritif azote N (total)","1996","1996","tonnes","14453","A","Chiffre officiel","Official data from questionnaire"
"RFN","Engrais par Élément Nutritif","53","Bénin","5157","Utilisation à des fins agricoles","3103","Engrais phosphatés (total d'élément fertilisant P205)","1996","1996","tonnes","10328","A","Chiffre officiel","Official data from questionnaire"
